name,case_type,function_regularization_fraction_of_noise,function_regularization_strength,derivative_regularization_strength,q_rmse,dq_ds_rmse,dq_dT_rmse,violation_percent,worst_violation,condition_number,alpha_norm,learned_noise_variance_standardized,learned_noise_std_physical,fit_seconds
unregularized,unregularized,0.0,0.0,0.0,0.0740980757321249,0.17931171637660928,0.19820627652081962,0.0,0.0,177529970431.18204,51.19637688060864,0.015977378638502952,0.21078778175688184,11.238003541016951
derivative-only: lambda_d=1e-08,derivative-only,0.0,0.0,1e-08,0.07409807575675524,0.17931171603358273,0.19820627648028635,0.0,0.0,177418771306.5997,51.196376881390435,0.015977378638502952,0.21078778175688184,10.909411665983498
derivative-only: lambda_d=1e-07,derivative-only,0.0,0.0,1e-07,0.07409807573121859,0.17931171297340148,0.19820627611538927,0.0,0.0,176465369559.01154,51.19637688842716,0.015977378638502952,0.21078778175688184,10.872679667081684
derivative-only: lambda_d=1e-06,derivative-only,0.0,0.0,1e-06,0.07409807575566066,0.17931168234709455,0.19820627246781225,0.0,0.0,169102433911.54355,51.19637695879407,0.015977378638502952,0.21078778175688184,10.934342416003346
derivative-only: lambda_d=1e-05,derivative-only,0.0,0.0,1e-05,0.0740980753162758,0.17931137608996178,0.19820623597623963,0.0,0.0,133871862470.85493,51.19637766265034,0.015977378638502952,0.21078778175688184,10.93431362498086
derivative-only: lambda_d=1e-04,derivative-only,0.0,0.0,0.0001,0.0740980715514871,0.1793083059381647,0.19820587004473655,0.0,0.0,66949233236.9983,51.19638471978394,0.015977378638502952,0.21078778175688184,10.995272457948886
derivative-only: lambda_d=1e-03,derivative-only,0.0,0.0,0.001,0.07409803771162833,0.17927684270008037,0.1982021045091152,0.0,0.0,24649821075.08487,51.196457272636586,0.015977378638502952,0.21078778175688184,10.93986429204233
derivative-only: lambda_d=1e-02,derivative-only,0.0,0.0,0.01,0.07407748197500873,0.17881880377145257,0.19813164794704172,0.0,0.0,16166962887.684555,51.1981443745667,0.015977378638502952,0.21078778175688184,11.140890832990408
derivative-only: lambda_d=1e-01,derivative-only,0.0,0.0,0.1,0.0825623812497807,0.15307399985206938,0.20718794356250936,0.0,0.0,14763002162.785046,53.47705117408934,0.015977378638502952,0.21078778175688184,14.857878042035736
derivative-only: lambda_d=2e-01,derivative-only,0.0,0.0,0.25,0.1594511279684873,0.2532337231989774,0.24444953422168245,0.0,0.0,14585438793.922678,64.70946734215352,0.015977378638502952,0.21078778175688184,15.371129042003304
derivative-only: lambda_d=5e-01,derivative-only,0.0,0.0,0.5,0.24544794939178793,0.4366918343724136,0.2546670590953521,0.0,0.0,14517312682.610407,80.28212944156314,0.015977378638502952,0.21078778175688184,16.008834249922074
